year,age_group,count
2005,65-85 Years,73370
2005,More than 85 Years,5421
2005,Not Specified,82629
2006,0-1 Month,2266
2006,2 Months-2 Years,2236
2006,3-11 Years,4837
2006,12-17 Years,6161
2006,18-64 Years,158636
2006,65-85 Years,78529
2006,More than 85 Years,5844
2006,Not Specified,77161
2007,0-1 Month,2766
2007,2 Months-2 Years,2518
2007,3-11 Years,6273
2007,12-17 Years,6922
2007,18-64 Years,171535
2007,65-85 Years,78461
2007,More than 85 Years,5856
2007,Not Specified,88994
2008,0-1 Month,4639
2008,2 Months-2 Years,2848
2008,3-11 Years,7620
2008,12-17 Years,7742
2008,18-64 Years,202023
2008,65-85 Years,92509
2008,More than 85 Years,7301
2008,Not Specified,114989
2009,0-1 Month,4543
2009,2 Months-2 Years,3109
2009,3-11 Years,8525
2009,12-17 Years,9024
2009,18-64 Years,220204
2009,65-85 Years,103034
2009,More than 85 Years,8341
2009,Not Specified,133628
2010,0-1 Month,2951
2010,2 Months-2 Years,4432
2010,3-11 Years,8210
2010,12-17 Years,8842
2010,18-64 Years,287195
2010,65-85 Years,126823
2010,More than 85 Years,10400
2010,Not Specified,223787
2011,0-1 Month,3855
2011,2 Months-2 Years,4092
2011,3-11 Years,9809
2011,12-17 Years,12833
2011,18-64 Years,343192
2011,65-85 Years,152836
2011,More than 85 Years,14252
2011,Not Specified,240758
2012,0-1 Month,4222
2012,2 Months-2 Years,3980
2012,3-11 Years,11224
2012,12-17 Years,12671
2012,18-64 Years,379152
2012,65-85 Years,172129
2012,More than 85 Years,16119
2012,Not Specified,330682
2013,0-1 Month,2364
2013,2 Months-2 Years,4776
2013,3-11 Years,11479
2013,12-17 Years,12811
2013,18-64 Years,398877
2013,65-85 Years,186877
2013,More than 85 Years,18627
2013,Not Specified,432782
2014,0-1 Month,2891
2014,2 Months-2 Years,4949
2014,3-11 Years,12735
2014,12-17 Years,14115
2014,18-64 Years,440092
2014,65-85 Years,234611
2014,More than 85 Years,23129
2014,Not Specified,465911
2015,0-1 Month,3343
2015,2 Months-2 Years,6347
2015,3-11 Years,17693
2015,12-17 Years,19941
2015,18-64 Years,591307
2015,65-85 Years,350321
2015,More than 85 Years,32553
2015,Not Specified,698286
2016,0-1 Month,3188
2016,2 Months-2 Years,7277
2016,3-11 Years,17921
2016,12-17 Years,21390
2016,18-64 Years,570597
2016,65-85 Years,355970
2016,More than 85 Years,33017
2016,Not Specified,674013
2017,0-1 Month,2962
2017,2 Months-2 Years,7664
2017,3-11 Years,20759
2017,12-17 Years,23198
2017,18-64 Years,566910
2017,65-85 Years,393544
2017,More than 85 Years,36850
2017,Not Specified,753123
2018,0-1 Month,3566
2018,2 Months-2 Years,9544
2018,3-11 Years,23590
2018,12-17 Years,33827
2018,18-64 Years,688679
2018,65-85 Years,473388
2018,More than 85 Years,41702
2018,Not Specified,865853
2019,0-1 Month,4145
2019,2 Months-2 Years,9445
2019,3-11 Years,23365
2019,12-17 Years,42186
2019,18-64 Years,702337
2019,65-85 Years,445080
2019,More than 85 Years,38952
2019,Not Specified,909774
2020,0-1 Month,3867
2020,2 Months-2 Years,9755
2020,3-11 Years,21192
2020,12-17 Years,40427
2020,18-64 Years,687011
2020,65-85 Years,442304
2020,More than 85 Years,38877
2020,Not Specified,959381
2021,0-1 Month,3144
2021,2 Months-2 Years,8903
2021,3-11 Years,22578
2021,12-17 Years,32113
2021,18-64 Years,730806
2021,65-85 Years,457755
2021,More than 85 Years,37045
2021,Not Specified,1036246
2022,0-1 Month,3178
2022,2 Months-2 Years,9801
2022,3-11 Years,25826
2022,12-17 Years,29890
2022,18-64 Years,769089
2022,65-85 Years,486388
2022,More than 85 Years,41010
2022,Not Specified,971917
2023,0-1 Month,2846
2023,2 Months-2 Years,10164
2023,3-11 Years,29486
2023,12-17 Years,31085
2023,18-64 Years,642576
2023,65-85 Years,455531
2023,More than 85 Years,40282
2023,Not Specified,942485
2024,0-1 Month,2752
2024,2 Months-2 Years,12018
2024,3-11 Years,35776
2024,12-17 Years,34713
2024,18-64 Years,658444
2024,65-85 Years,470425
2024,More than 85 Years,40369
2024,Not Specified,787332
